R_gyr,L_gyr,R_acc,L_acc,SampleRate
-1.13779101371765,0.0950651526451111,-11.1453592300415,-5.55192708969116,
-1.09656054973602,0.164494758844376,-11.5384376525879,-5.92303199768067,
-0.991454815864563,0.227301847934723,-9.4827112197876,-5.85955352783203,
-0.950865173339844,0.261696207523346,-5.66423530578613,-5.78386754989624,
-0.771202707290649,0.287118142843246,9.77324695587158,-5.6691180229187,
0.219397568702698,0.265327930450439,12.0804460525513,-4.94155702590942,
0.838923281431198,0.0805383481085301,-2.67097988128662,-5.16129007339478,
0.106601148843765,-0.0732749402523041,-17.6128418922424,-5.11978483200073,
-0.412305061519146,-0.206152528524399,-30.9750637054443,-6.52851905822754,
-0.292886137962341,-0.437513339519501,-17.7861862182617,-5.47868242263794,
0.187139502167702,-0.797265529632568,2.17535934448242,-5.12955083847046,
0.461439836025238,-1.20465712547302,5.10269460678101,-6.43330135345459,
0.545823538303375,-1.53556926250458,-3.97473058700562,-7.00704936981201,
0.464217054843903,-1.73638107776642,-11.6653948783875,-7.05587921142578,
0.547959828376770,-1.94680619239807,-10.0198366165161,-5.70818176269531,
0.677205729484558,-2.31958975791931,-5.34928398132324,-4.90249319076538,
0.676351213455200,-2.84682760238647,-3.51084909439087,-4.45081920623779,
0.617603051662445,-3.3364664554596,-4.69252572059631,-4.370250415802,
0.482375538349152,-3.62166209220886,-5.12955074310303,-5.00747680664063,
0.314249074459076,-3.73360395431519,-4.61439828872681,-6.46504096984863,
0.200384533405304,-3.86199526786804,-3.94299125671387,-7.61986122131348,
0.159154027700424,-4.01666307449341,-4.7169406414032,-7.7663498878479,
0.109378334879875,-4.12262325286865,-5.49089012145996,-7.63450984954834,
0.00598162710666656,-4.18393487930298,-4.84633903503418,-8.0837423324585,
-0.0546891659498215,-4.30378122329712,-3.92834234237671,-8.25952873229981,
-0.0692159801721573,-4.43473606109619,-3.48399291038513,-8.74538345336914,
-0.120059813559055,-4.31510372161865,-3.16415886878967,-9.95879993438721,
-0.173467203974724,-4.12326431274414,-2.90536193847656,-7.59300489425659,
-0.215338599681854,-3.63576149940491,-3.20810551643372,-4.66811084747314,
-0.241187778115273,-3.03952136039734,-2.9346598148346,-4.511856174469,
-0.243110439181328,-2.4800256729126,-2.66853828430176,-5.55436840057373,
-0.224524664878845,-2.30570378303528,-3.13241972923279,-2.5830865085125,
-0.187566751241684,-2.20764784812927,-3.87462964057922,-0.251472517848015,
-0.171758171916008,-1.91219820976257,-4.40931406021118,-0.178228095173836,
-0.174108099937439,-1.51399266719818,-4.67055244445801,-0.0537125766277313,
-0.183721420168877,-1.1395000576973,-5.10269441604614,0.637226462364197,
-0.227729117870331,-0.748344343900681,-4.90737609863281,1.78716382980347,
-0.254432821273804,-0.336466551013291,-4.58021783828735,1.93609414100647,
-0.258491784334183,0.0617389433085919,-4.78041925430298,1.40140993595123,
-0.255928212404251,0.432386231422424,-5.07095546722412,1.05960261821747,
-0.253578287363052,0.811578702926636,-5.06851387023926,0.847193789482117,
-0.277932065725327,1.16406750679016,-4.73158941268921,0.507827960699797,
-0.277291172742844,1.47105314731598,-4.68031854629517,-0.156254759430885,
-0.273873102664948,1.73744919300079,-4.94155693054199,-1.1474958896637,
-0.305063009262085,1.94766073226929,-4.64369621276856,-2.00689706802368,
-0.312112784385681,2.12390513420105,-4.45570211410522,-2.88094711303711,
-0.307626575231552,2.26361889839172,-4.64613752365112,-3.65245513916016,
-0.304849398136139,2.35740218162537,-4.84633903503418,-4.12121934890747,
-0.322367024421692,2.38966026306152,-4.78530197143555,-4.84389753341675,
-0.294381541013718,2.46528520584107,-4.65346221923828,-5.7887508392334,
-0.273445850610733,2.47831649780273,-4.97817916870117,-5.53239517211914,
-0.185644096136093,2.57893605232239,-5.22232704162598,-6.22089252471924,
-0.00469985008239745,2.64815201759338,-5.97430305480957,-8.30347566604614,
0.129245889931917,2.72463145256042,-5.68376703262329,-7.36350564956665,
0.214270451664925,2.86455879211426,-5.54704399108887,-7.60765361785889,
0.281777399778366,2.97863707542419,-5.70818157196045,-8.1887264251709,
0.266609704494476,3.04614386558533,-5.36881589889526,-8.40113487243652,
0.265541541576386,3.13693652153015,-4.84389772415161,-8.73561763763428,
0.277291160821915,3.236487865448,-4.68764295578003,-8.83327693939209,
0.266182434558868,3.35142059326172,-4.81215848922729,-8.76491584777832,
0.216620379686356,3.45439014434814,-4.46546802520752,-8.98953151702881,
0.173467206954956,3.53941464424133,-4.30188894271851,-9.11404724121094,
0.133091220259666,3.567613697052,-4.58754215240479,-9.14822788238526,
0.0831018984317780,3.5366373538971,-4.75112133026123,-9.19461612701416,
0.0239265106618404,3.45759439468384,-4.36292581558228,-9.37284412384033,
0.0228583635762334,3.33796186447144,-4.90493469238281,-9.74394969940186,
-0.0615253135561943,3.2085024356842,-4.69496726989746,-10.1272621154785,
-0.0892971590161324,3.07242045402527,-4.16272449493408,-10.2249212265015,
